sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP Request,16084,91,2,1200,190,82.9186461265445,0.3022258144740114,541.3118836872749,1557.4217632538787,2946.175640387963
TOTAL,16084,91,2,1200,190,82.9186461265445,0.3022258144740114,541.3118836872749,1557.4217632538787,2946.175640387963
