sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,16084,91,72,190,2,1200,0.3022258144740114,541.3118836872749,1557.4217632538787,82.9186461265445
TOTAL,16084,91,72,190,2,1200,0.3022258144740114,541.3118836872749,1557.4217632538787,82.9186461265445
