sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,6170,26,16,57,2,3195,0.05672609400324149,617.2468987595038,177.51729598089236,62.16610964617077
TOTAL,6170,26,16,57,2,3195,0.05672609400324149,617.2468987595038,177.51729598089236,62.16610964617077
