sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP Request,537,196,5,409,331,82.51875073072671,1.0,264.40177252584937,653.5164904911373,2531.0
TOTAL,537,196,5,409,331,82.51875073072671,1.0,264.40177252584937,653.5164904911373,2531.0
