sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,537,196,183,331,5,409,1.0,264.40177252584937,653.5164904911373,82.51875073072671
TOTAL,537,196,183,331,5,409,1.0,264.40177252584937,653.5164904911373,82.51875073072671
