sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP Request,471,225,38,416,382,100.9867660578813,1.0,244.42138038401663,604.1313610858848,2531.0
TOTAL,471,225,38,416,382,100.9867660578813,1.0,244.42138038401663,604.1313610858848,2531.0
