sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,17558,83,87,150,2,3087,0.6701788358582982,590.8800269224298,1207.7250152490326,61.57480285231598
TOTAL,17558,83,87,150,2,3087,0.6701788358582982,590.8800269224298,1207.7250152490326,61.57480285231598
