sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP Request,16649,73,1,510,140,55.11535192334163,0.5757703165355277,597.8311609034436,950.8454775081691,1628.6634632710673
TOTAL,16649,73,1,510,140,55.11535192334163,0.5757703165355277,597.8311609034436,950.8454775081691,1628.6634632710673
