sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,16649,73,77,140,1,510,0.5757703165355277,597.8311609034436,950.8454775081691,55.11535192334163
TOTAL,16649,73,77,140,1,510,0.5757703165355277,597.8311609034436,950.8454775081691,55.11535192334163
