sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,6252,51,46,85,2,399,0.6287587971849008,442.77620396600565,736.9135783684491,26.050656196877252
TOTAL,6252,51,46,85,2,399,0.6287587971849008,442.77620396600565,736.9135783684491,26.050656196877252
