sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,434,246,220,381,105,405,1.0,235.99782490483958,583.3110301114737,90.85626027415563
TOTAL,434,246,220,381,105,405,1.0,235.99782490483958,583.3110301114737,90.85626027415563
