sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP Request,8106,73,2,1118,136,83.917218052459,0.0,1033.9285714285716,365.50990513392856,362.0
TOTAL,8106,73,2,1118,136,83.917218052459,0.0,1033.9285714285716,365.50990513392856,362.0
