sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,13322,51,33,116,1,1020,0.2607716559075214,641.0046672761391,633.8841202846075,47.36180846584924
TOTAL,13322,51,33,116,1,1020,0.2607716559075214,641.0046672761391,633.8841202846075,47.36180846584924
