sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,9272,64,48,132,1,3156,0.0,1172.6318452004555,462.6399076767421,67.214007515716
TOTAL,9272,64,48,132,1,3156,0.0,1172.6318452004555,462.6399076767421,67.214007515716
