sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP Request,6252,51,2,399,85,26.050656196877252,0.6287587971849008,442.77620396600565,736.9135783684491,1704.245841330774
TOTAL,6252,51,2,399,85,26.050656196877252,0.6287587971849008,442.77620396600565,736.9135783684491,1704.245841330774
