sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,10462,57,43,107,1,3209,0.0,1337.338616898888,208.95915889045122,91.60472695729982
TOTAL,10462,57,43,107,1,3209,0.0,1337.338616898888,208.95915889045122,91.60472695729982
