sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP Request,10462,57,1,3209,107,91.60472695729982,0.0,1337.338616898888,208.95915889045122,160.0
TOTAL,10462,57,1,3209,107,91.60472695729982,0.0,1337.338616898888,208.95915889045122,160.0
