sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,609,171,115,384,2,902,0.054187192118226604,327.7717976318622,990.2801020923035,151.33907297475193
TOTAL,609,171,115,384,2,902,0.054187192118226604,327.7717976318622,990.2801020923035,151.33907297475193
