sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,15479,70,55,143,2,1407,0.46941016861554363,608.4273416925436,820.0404244133485,61.7581409696463
TOTAL,15479,70,55,143,2,1407,0.46941016861554363,608.4273416925436,820.0404244133485,61.7581409696463
