sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP Request,10519,57,1,3085,111,104.59932108527319,0.0,1342.7367883584375,1577.453473042188,1203.0
TOTAL,10519,57,1,3085,111,104.59932108527319,0.0,1342.7367883584375,1577.453473042188,1203.0
