sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_90%_line,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
HTTP Request,4538,134,2,1759,344,176.80658891537726,0.0,571.8966603654695,1745.8485940453686,3126.0
TOTAL,4538,134,2,1759,344,176.80658891537726,0.0,571.8966603654695,1745.8485940453686,3126.0
