sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,501,209,186,337,20,403,1.0,267.0575692963753,660.0807694229744,77.63481960100908
TOTAL,501,209,186,337,20,403,1.0,267.0575692963753,660.0807694229744,77.63481960100908
