sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
HTTP Request,6233,96,76,198,2,797,1.0,795.5328653477983,205.09831684747925,77.88179829598452
TOTAL,6233,96,76,198,2,797,1.0,795.5328653477983,205.09831684747925,77.88179829598452
